"TargetCoarseDim","ActualCoarseDim","EffectiveApply","Runs","ConvergedRuns","AllConverged","MedianIterations","MaxVerifiedResidual","MedianEscalations","MedianLocalRegions","MedianFactorMiB","MedianCoarseMiB","MedianCoarseSetupMs","MedianMsPerIteration","MedianSolverMs","MedianWallMs","MinWallMs","MaxWallMs"
"512","510","FactorSolve","3","3","True","1502","9.687436E-09","2","16","1.753","11.106","401.974","18.875912117177098","28351.62","30999.984","30883.726","31651.827"
"768","765","FactorSolve","3","3","True","1329","9.878282E-09","2","16","1.753","13.594","425.851","18.97929119638826","25223.478","27895.937","27831.511","28405.387"
"1024","1017","FactorSolve","3","3","True","1224","9.917584E-09","2","16","1.753","17.028","495.889","19.89906862745098","24356.46","27158.589","26133.096","27379.42"
"1152","1149","ExplicitInverse","3","3","True","1172","9.630717E-09","2","16","1.753","19.196","612.561","19.277961604095562","22593.771","25447.755","25169.408","25665.17"
"1280","1272","ExplicitInverse","3","3","True","1151","9.878261E-09","2","16","1.753","21.47","680.599","19.450822762814944","22387.897","25363.479","25283.04","25477.515"
"1536","1527","ExplicitInverse","3","3","True","1081","9.621281E-09","2","16","1.753","26.919","913.463","19.534075855689178","21116.336","24330.707","24220.822","24350.496"
"1792","1785","ExplicitInverse","3","3","True","1044","9.53269E-09","2","16","1.753","33.442","1230.434","19.507340996168583","20365.664","23872.285","23765.577","24172.862"
"2048","2028","ExplicitInverse","3","3","True","1020","9.619574E-09","2","16","1.753","40.515","1611.682","19.89046568627451","20288.275","24167.481","23945.488","24335.749"
