"TargetCoarseDim","ActualCoarseDim","Runs","ConvergedRuns","AllConverged","MedianIterations","MaxVerifiedResidual","MedianCoarseMiB","MedianCoarseSetupMs","MedianMsPerIteration","MedianSolverMs","MedianWallMs","MinWallMs","MaxWallMs"
"1280","1275","3","3","True","2503","9.924662E-09","20.637","348.388","21.30100679184978","53316.42","56200.817","55477.998","56403.273"
"1536","1533","3","3","True","2444","9.911248E-09","26.172","516.069","21.79156505728314","53258.585","56334.429","56047.556","56678.139"
"1792","1791","3","3","True","2328","9.729207E-09","32.723","729.822","22.208773195876287","51702.024","54927.476","53962.925","55104.161"
"2048","2037","3","3","True","2291","9.853857E-09","39.915","1015.094","23.039371890004364","52783.201","56290.707","55966.341","56495.563"
