"Target","Actual","FactorConverged","InverseConverged","FactorWallMs","InverseWallMs","WallGainPct","FactorSolverMs","InverseSolverMs","SolverGainPct","SetupPenaltyMs","IterSavingMs","BreakEvenIterations","InverseWins"
"768","768","True","True","60112.458","60490.43","-0.6287748206869225","57479.19","57716.879","-0.4135218328581152","17.49199999999999","-0.08395937831154754","NaN","False"
"1280","1275","True","True","56101.029","53748.512","4.193358022007047","53160.157","50785.029","4.467872433108121","94.94799999999998","0.9489125049940057","100.05980477683742","True"
"1792","1791","True","True","54983.381","50764.37","7.673247667326967","51702.171","47285.408","8.54270316811261","255.67600000000004","1.8972349656357395","134.76243303070595","True"
"2048","2037","True","True","55665.166","51470.328","7.535840277562445","52163.486","47590.343","8.766942838137767","401.2049999999999","1.9961340026189411","200.9910153695174","True"
