"Aggregation","Repeat","Status","Iterations","VerifiedResidual","ActualCoarseDim","CoarseMiB","CoarseSetupMs","SolverMs","WallMs","MsPerIter"
"contiguous","1","Converged","2328","9.807393E-09","1791","32.695","971.823","47702.174","51143.884","20.490624570446734"
"graph","1","Converged","1044","9.53269E-09","1785","33.442","1229.601","20661","24175.936","19.79022988505747"
"graph","2","Converged","1044","9.53269E-09","1785","33.442","1221.639","20609.325","24097.583","19.74073275862069"
"contiguous","2","Converged","2328","9.807393E-09","1791","32.695","971.066","48044.294","51605.438","20.637583333333335"
"contiguous","3","Converged","2328","9.807393E-09","1791","32.695","970.559","47470.962","50994.671","20.391306701030928"
"graph","3","Converged","1044","9.53269E-09","1785","33.442","1210.696","20230.375","23701.754","19.377753831417625"
